Tickers,#Number of shs,HKD Notional
3,107000,737460
4,21000,381200
5,1216800,68140440
6,168500,7339125
8,111000,455100
11,18700,2144480
12,203000,5517850
13,153000,4151175
14,4000,93000
16,209500,22783400
17,458000,9673950
19,82000,4809500
20,7255000,19945650
23,29600,296932
27,383000,21441000
35,1000,1980
38,2000,8040
45,500,3945
66,89000,3458525
69,10000,74520
81,247000,1106380
83,52000,560040
86,1000,3110
87,2500,23900
101,502000,7344460
107,2000,3820
116,7000,75100
119,1029000,2404260
123,535000,7043540
135,602000,3844820
136,1252000,2466360
142,8000,20160
144,212000,2501880
148,500,12100
151,444000,2304650
152,66500,467270
165,66000,381960
168,44000,3729600
175,1970000,20683180
177,12000,93920
179,3000,27150
189,339000,2842790
200,311000,2901540
215,8000,10840
220,229000,1770320
241,2218000,12912540
257,355000,1183550
267,318000,3067030
268,75000,990560
270,240000,1904000
285,252500,5934925
286,142000,75080
288,937000,4278060
291,56000,3512000
293,95000,741380
297,4000,4040
302,26000,67640
303,27400,1262300
308,10000,17400
315,5000,24790
316,144500,24380050
322,174000,2321160
323,58000,104360
327,31000,203310
336,330000,1330060
341,6000,67360
345,2000,30200
347,1152000,3051160
354,1358000,7246680
357,20000,379360
358,60000,874380
363,17000,194100
371,1034000,2035300
384,227400,2328520
386,6550000,33275920
388,172700,59850940
390,1506000,8586380
392,25500,791725
405,174000,352450
410,2500,3275
419,10000,1330
425,86000,2016100
435,5000,15950
440,800,16360
460,620000,520800
467,2620000,2954820
489,216000,816200
512,18000,86075
520,198500,1307630
522,13700,1009180
535,4000,2240
546,281000,1259060
548,58000,425060
551,7500,84530
552,586000,2431500
558,210000,1982000
564,7000,60368
570,112000,476240
576,180000,1195240
579,360000,720100
580,2000,3820
581,156000,205060
586,196500,2637720
587,787000,2162930
590,9000,236200
598,37000,97640
604,74000,113580
607,17500,1957
631,45000,375900
636,61500,736450
639,68000,180000
650,344000,322380
656,107500,623265
658,34000,96850
659,20000,137820
665,136000,93840
667,79000,331780
669,530500,44188275
670,52000,170320
683,11500,226300
686,160000,29642
688,715000,15468200
694,20000,116600
696,17000,261840
697,170000,361960
700,1046600,382597520
709,18000,44320
710,371000,5410440
728,1744000,7776000
746,2000,10400
751,208000,839420
753,772000,5770180
754,3200,23552
762,936000,6036460
763,568600,13847270
772,264000,10063940
777,2500,35750
778,11000,73430
780,76000,1326376
788,2754000,2671600
799,631000,3639260
806,67000,183670
817,2686000,4586520
818,39000,28470
819,26000,243120
823,512500,26403800
826,42000,103860
836,288000,4990000
839,4000,28840
853,231000,4444536
855,2000,13000
856,14000,62120
857,5488000,28925980
860,80000,10188
861,19000,67580
867,115000,1580420
868,889000,13344220
873,104000,219000
874,16000,417500
880,470000,1931220
881,206000,7583500
883,3175000,40574280
902,2434000,10847100
909,243000,1134430
914,126000,3325550
916,108000,941390
921,335000,5649740
939,34004000,182192480
941,646500,44908100
956,7000,24360
960,159500,3905350
966,301200,2709476
968,6386000,57959800
973,8750,173020
981,2375000,56771100
990,190000,171000
991,68000,102680
992,4964000,42689060
995,52000,395120
998,1196000,5067500
1024,300100,16007500
1030,1130000,2360360
1033,4000,2680
1038,78000,3446750
1044,126000,4531875
1052,8000,35740
1055,756000,4449800
1060,190000,100700
1066,354800,4827904
1070,36000,124280
1071,336000,1193380
1072,8400,101012
1083,62000,217910
1088,513500,13103850
1093,1292000,10477080
1099,310800,8000080
1108,66000,538520
1109,708000,27968700
1112,66500,956640
1113,302000,14323750
1117,18000,18350
1119,41600,159228
1121,20000,157660
1128,540800,4662812
1137,375000,1783360
1138,150000,1266100
1140,60000,20140
1157,6800,29762
1164,15000,13050
1171,844000,22724900
1176,94000,78060
1177,3201000,14763730
1179,31400,1219480
1186,395500,2521995
1193,15000,405685
1196,92000,513140
1199,40000,196800
1208,1284000,4136480
1209,56400,2470090
1211,421000,97426200
1233,15000,11250
1238,62000,82140
1250,20000,1360
1258,48000,209270
1268,144000,2026320
1288,12212000,37497690
1299,511000,43767730
1302,144000,438760
1308,295000,5469800
1310,243000,1469725
1313,250000,943380
1316,6000,29580
1336,134500,2799600
1339,830000,2313890
1347,199000,7287000
1357,419500,955780
1359,5066000,5041440
1361,201000,853430
1368,185000,1800335
1375,99000,120880
1378,1500000,12834525
1381,29000,104130
1385,328000,9056800
1398,33674000,144998800
1415,130000,2204960
1448,14000,82810
1456,13500,53480
1458,761000,2926645
1468,100000,180100
1477,42000,394000
1478,28000,117780
1513,6200,184665
1515,92000,675205
1516,406000,1432610
1528,10200,36348
1530,312500,2541610
1548,588000,11850920
1558,1800,13590
1563,67000,374120
1579,161000,3593950
1585,132000,2618680
1600,40500,191030
1610,71000,149250
1618,148000,335430
1658,8866000,45117770
1666,23000,168640
1672,139000,369070
1675,400,6120
1686,13000,59610
1691,61500,469950
1698,900,28470
1733,60000,83240
1755,35000,210070
1760,95000,550350
1765,20000,12000
1766,782000,3793570
1772,793800,42615330
1773,30000,68520
1776,449000,5375800
1787,70750,1256050
1788,105000,73500
1789,94000,1025280
1797,756500,22482625
1798,882000,2670900
1799,352000,7545660
1800,194000,1023160
1801,193500,7891075
1810,4668200,58319360
1811,106000,273340
1812,9000,22320
1813,608000,728195
1816,1908000,3758570
1818,1118500,14986780
1821,75800,1004576
1833,258500,5179863
1860,7000,28000
1866,5000,20310
1873,4000,6565
1876,176100,4281625
1877,20000,630740
1880,62600,11895550
1882,105000,2233600
1883,37000,121730
1888,278500,2360185
1896,12000,104364
1898,1862000,11771750
1899,6000,9660
1907,7000,26320
1908,381000,9819350
